member_id,gender,address,city,state,postal_code,dob,referred by,plan,total,plan_status,member_since,plan_pause_date,is_member
Oliver,Female,,Olympia ,WA,98513,1995,Facebook,6 Week hybrid bi weekly ,199,paused,2/25/2020,3/23/2020,1
Natalia,Female,519 Lane,Olympia,WA,98502,2003,,YouthFamily Member discount ,40,paused,10/12/2018,10/27/2018,1
Cherie,Male,520 Lane,,,,1985,,Semi Private Elite 3x Per Week ,399,paused,7/23/2016,1/11/2019,1
Lakisha,Not Specified,521 Lane,,,,1977,,Semi Private Perfomance 2x Per Week,257,paused,2/26/2017,10/25/2017,1
Karissa,Not Specified,522 Lane,,,,1974,,Team Training ,129,paused,6/18/2016,9/10/2017,1
Jeannette,Female,523 Lane,,,98512,1974,Facebook,Semi Private Perfomance 2x Per Week,284,paused,5/12/2016,12/18/2021,1
Ariana,Female,524 Lane,,,,1964,,Team Training ,99,paused,10/12/2018,12/17/2018,1
Lucia,Female,525 Lane,,,,1975,Existing Member,Semi Private Elite 3x Per Week ,80,paused,1/26/2019,11/17/2020,1
Jerrod,Female,526 Lane,,,,1981,,Semi Private Perfomance 2x Per Week,249,paused,10/11/2016,4/26/2021,1
Kassandra,Female,,,,,1981,,Semi private 2x per week family special 3 ,500,paused,10/11/2016,9/3/2021,1
Guy,Not Specified,,,,,,,Team Training ,129,paused,4/21/2016,1/2/2022,1
Milton,Female,,Tumwater,WA,98512,1984,Facebook,Team Training 3x Per Week ,109,paused,4/14/2019,3/23/2020,1
Micaela,Female,,,,98502,1965,Facebook,6 week challenge  deposit 2 half payments ,100,paused,2/17/2019,3/6/2019,1
Krystina,Not Specified,,,,,1983,,Semi private special ,50,paused,10/17/2018,12/5/2018,1
Esteban,Not Specified,,,,,1966,,Indie Membership 6 Month Commitment,54,paused,5/15/2016,11/20/2016,1
Gilberto,Male,533 Lane,,,98596,1995,Staff Member,Team Training ,129,paused,5/27/2019,12/24/2020,1
Chelsie,Female,,Olympia,WA,98506,1965,Facebook,Semi Private Perfomance 2x Per Week,249,paused,5/12/2016,4/25/2017,1
Antwan,Female,,Olympia,WA,98506,1965,Facebook,Team Training ,99,paused,5/12/2016,9/18/2018,1
Cathy,Not Specified,,,,,1983,Facebook,6 week challenge  deposit 2 half payments ,150,paused,3/4/2019,3/4/2019,1
Ty,Not Specified,537 Lane,Elma,WA,98541,1973,Walk-In,Semi Private Perfomance 2x Per Week,249,paused,5/12/2016,6/19/2016,1
Shante,Not Specified,,,,,,,Team Training ,119,paused,5/9/2016,8/29/2016,1
Roman,Not Specified,,,,,,,Team Training 2x per week,79,paused,5/9/2016,6/24/2017,1
Kylie,Not Specified,,,,,2001,,Team Training 3x Per Week ,79,paused,8/14/2018,4/4/2019,1
Mercedes,Not Specified,541 Lane,,,,,,Small Group Personal Training Weekly ,-5,paused,7/29/2020,12/21/2020,1
Dena,Female,542 Lane,,,,,Facebook,Semi private 2x per week weekly payment ,75,paused,1/25/2021,4/15/2021,1
Christi,Male,543 Lane,,,98513,1988,Staff Member,Small Group Personal Training,169,paused,11/2/2020,8/13/2021,1
Latrice,Female,544 Lane,,,98512,1967,Facebook,6 week challenge weekly 3x semi,99,paused,3/14/2020,4/2/2020,1
Kellen,Female,,,,98512,1967,Facebook,Team Training 3x Per Week ,109,paused,3/14/2020,12/10/2021,1
Freddie,Female,,,,,1970,,Live Virtual Training ,80,paused,5/9/2020,11/12/2020,1
Clara,Female,,,,,,,Team Training ,129,paused,9/21/2016,12/17/2016,1
Rosanna,Female,548 Lane,,,98503,1963,Facebook,Semi Private Elite 3x Per Week ,349,paused,2/9/2021,10/22/2021,1
Demarcus,Female,,,,,,,Team Training Family discount couple,189,paused,8/2/2016,8/10/2016,1
Domonique,Female,,Olympia ,Wa,98512,1972,,Team Training ,129,paused,4/1/2019,6/3/2020,1
Alvaro,Not Specified,,,,,1973,,Team Training ,99,paused,8/14/2018,2/11/2019,1
Shaina,Not Specified,552 Lane,Centralia,WA,98531,1993,Existing Member,Indie Membership 6 Month Commitment,79,paused,5/11/2016,1/27/2019,1
Nathanael,Female,553 Lane,,,,1985,Facebook,Team Training 3x Per Week ,59,paused,4/20/2019,4/1/2020,1
Kacie,Not Specified,554 Lane,Shelton,WA,98584,,,Indie Membership 6 Month Commitment,57,paused,5/17/2016,1/15/2018,0
Jodie,Female,555 Lane,,,98501,1982,,Team Training 1x per week ,40,paused,10/10/2017,3/2/2021,1
Dusty,Not Specified,556 Lane,,,,1968,,Team Training 3x Per Week ,80,paused,4/17/2018,11/12/2020,1
Sidney,Female,557 Lane,Lacey,WA,98503,1982,,Bi Weekly Payment unlimited team ,54.5,paused,8/11/2018,11/7/2018,1
Adrianne,Female,558 Lane,Olympia ,WA,98501,1969,Facebook,Team Training 3x Per Week ,129,paused,3/12/2019,12/28/2020,1
Mike,Female,559 Lane,,,98499,1974,Other,Team Training 3x Per Week ,109,paused,9/18/2019,4/1/2020,1
Chloe,Not Specified,560 Lane,,,,1944,,Live Virtual Training 1x per week,40,paused,5/16/2020,4/30/2021,1
Alecia,Not Specified,561 Lane,,,,,,Semi Private Elite 3x Per Week ,399,paused,5/10/2016,8/28/2016,1
Sam,Female,,Lacey,WA,98503,1980,Facebook,Team Training ,129,paused,7/26/2019,4/1/2020,1
Rocio,Male,,,,98513,1971,,Team Training ,109,paused,5/10/2016,10/21/2020,1
Kim,Male,,,,98579,1966,,Semi Private Elite 3x Per Week ,399,paused,8/18/2020,4/1/2021,1
Arlene,Not Specified,565 Lane,,,98502,1993,Google,Small Group Personal Training,174,paused,5/18/2021,11/14/2021,1
Antonia,Not Specified,566 Lane,,,,,,Team Training ,129,paused,5/9/2016,10/19/2017,1
Jamaal,Male,567 Lane,,,98501,1965,Staff Member,Team Training ,129,paused,9/12/2019,6/22/2020,1
Shantel,Female,568 Lane,Rochester,Wa,98579,1972,,Semi Private Elite 3x Per Week ,349,paused,8/18/2020,4/1/2021,1
Deidre,Not Specified,569 Lane,,,98516,1988,Existing Member,Team Training ,129,paused,7/12/2019,6/16/2020,1
Salvatore,Female,570 Lane,Tumwater,WA,98501,1983,,Team Training ,129,paused,5/2/2016,9/13/2018,1
Kimberley,Male,571 Lane,,,98512,2005,,Team Training 3x Per Week ,59,paused,8/3/2016,4/15/2021,1
Gerard,Not Specified,572 Lane,Olympia,WA,98512,,,Team Training 3x Per Week ,109,paused,5/13/2016,6/12/2016,1
Gene,Female,573 Lane,Olympia,WA,98506,1977,Facebook,Team Training ,199,paused,5/7/2016,12/31/2020,1
Weston,Female,574 Lane,Lacey,WA,98503,1995,,Team Training 3x Per Week ,109,paused,10/7/2017,2/7/2018,1
Diego,Male,575 Lane,Tumwater,WA,98512,1991,,Team Training ,79,paused,10/5/2018,3/3/2021,1
Tasia,Female,576 Lane,,,98513,1987,,Semi Private 1x per week  Small Group ,250,paused,11/4/2020,8/13/2021,1
Mariah,Female,,,,98512,1989,Facebook,12 Month Membership- 3x per week SP Training- Bi weekly pay,160,paused,12/10/2019,3/22/2020,1
Jimmie,Female,,,,98501,1986,,Semi Private Elite 3x Per Week ,349,paused,3/4/2019,12/21/2020,1
Zackary,Female,,,,98501,1986,,Fitness Ablaze Online Fitness Program Design ,15,paused,3/4/2019,12/1/2020,1
Hugo,Female,580 Lane,,,98501,1986,,Team Training ,129,paused,3/4/2019,3/26/2021,1
Leanna,Not Specified,581 Lane,,,,1956,,Semi Private Perfomance 2x Per Week,219,paused,1/9/2018,6/19/2018,1
Lacie,Female,582 Lane,,,,1984,,Live Virtual Training ,80,paused,5/9/2016,12/9/2020,1
Donnie,Female,583 Lane,Centralia,Wa,98531,1977,Existing Member,Team Training 3x Per Week ,109,paused,6/4/2019,7/2/2020,1
Aisha,Female,584 Lane,Tumwater,Wa,98512,1972,Facebook,semi private 2x per week ,150,paused,12/24/2019,12/28/2020,1
Marianne,Female,585 Lane,,,98513,1992,Facebook,Team Training ,79,paused,8/2/2019,4/1/2020,1
Lana,Not Specified,,,,,,,6 week challenge weekly payments ,32.25,paused,10/10/2020,12/30/2020,1
Kyla,Female,,,,98516,1996,Facebook,Team Training 3x Per Week ,109,paused,1/30/2020,4/1/2020,1
Ginger,Not Specified,,,,98516,1996,Facebook,6 Week hybrid bi weekly ,199,paused,3/9/2020,3/25/2020,1
Tiana,Not Specified,,,,,,,Small Group Personal Training,174,paused,5/18/2021,11/14/2021,1
Lashonda,Female,,,,,1980,Facebook,6 week Challenge deposit PIF,299,paused,2/18/2020,3/15/2020,1
Dayna,Not Specified,591 Lane,,,,,,6 week challenge  deposit 2 half payments ,125,paused,2/26/2019,4/7/2019,1
Marcia,Female,592 Lane,,,99840,1982,Facebook,Small Group Personal Training,199,paused,11/6/2019,4/25/2021,1
Luz,Not Specified,,Olympia,WA,98512,1998,Existing Member,YouthFamily Member discount ,65,paused,4/19/2016,5/18/2016,1
Janna,Female,,,,98516,1981,Facebook,Semi Private Elite 3x Per Week ,379,paused,1/16/2020,6/8/2020,1
Riley,Female,,,,,1983,Facebook,Team Training 2x per week 6 month commitment,79,paused,10/11/2018,8/24/2021,1
Desirae,Female,596 Lane,,,,1983,Facebook,Team Training 3x Per Week ,109,paused,10/11/2018,6/20/2020,1
Billie,Female,597 Lane,Olympia,WA,98502,1966,Facebook,Team Training ,129,paused,6/1/2016,5/2/2020,1
Zane,Not Specified,,,,,1995,,Team Training ,52,paused,2/4/2020,4/15/2020,1
Johnnie,Not Specified,,,,98597,1983,,6 week challenge  deposit 2 half payments ,150,paused,3/6/2019,5/9/2019,1
Greg,Not Specified,600 Lane,,,,1989,,Semi private special ,1,paused,10/18/2018,4/3/2019,1
Angelique,Not Specified,601 Lane,,,,2004,,Team Training ,104,paused,10/5/2020,2/28/2021,1
Kali,Female,602 Lane,,,,,Facebook,Team Training 3x Per Week ,109,paused,10/28/2019,3/23/2020,1
Silvia,Not Specified,603 Lane,,,,1976,,Semi Private Perfomance 2x Per Week,299,paused,8/14/2018,3/31/2021,1
Asia,Not Specified,,,,,1979,,Team Training ,129,paused,6/22/2021,1/28/2022,1
Quincy,Female,,Olympia,WA,98502,1996,,Team Training ,79,paused,2/23/2017,9/21/2020,1
Catrina,Female,606 Lane,Olympia ,Wa,98512,1966,Facebook,Semi Private Perfomance 2x Per Week,299,paused,10/29/2021,1/3/2022,1
Rusty,Male,607 Lane,,,,1986,,Semi Private 1x per week  Small Group ,199,paused,1/25/2017,6/30/2018,1
Frankie,Female,608 Lane,Olympia,WA,98501,1986,,Team Training 2x per week,79,paused,9/15/2017,3/11/2020,1
Athena,Female,609 Lane,,,98499,1991,Facebook,semi private 2x per week ,135,paused,10/16/2021,11/14/2021,1
Randolph,Male,610 Lane,,,98584,1964,,Semi Private Perfomance 2x Per Week,199,paused,3/4/2019,4/7/2019,1
Sheldon,Female,,Shelton ,Wa,98584,1973,Facebook,Small Group Personal Training,199,paused,10/16/2019,4/13/2021,1
Maricela,Female,,,,98584,1971,,Semi Private Elite 3x Per Week ,374,paused,7/13/2019,7/1/2020,1
Tomas,Male,,Olympia ,Wa,98516,1952,,1 on 1 personal training 2x per week ,100,paused,10/27/2021,12/20/2021,1
Toby,Not Specified,,,,,,,Semi Private Perfomance 2x Per Week,249,paused,5/10/2016,8/15/2016,1
Nadine,Male,,,,98506,1970,,Team Training 3x Per Week ,59,paused,4/21/2019,12/31/2020,1
